method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
003c2224147ff84df4c6fd09a341330e,1b2cea5ff770335e4ffb65aa9a0fe52b,pair_dissolved_naturally,exact,exact,1.0,1.0
003c2224147ff84df4c6fd09a341330e,4abe9980a639f0d25e39ee46da8a2856,pair_dissolved_naturally,exact,exact,1.0,1.0
003c2224147ff84df4c6fd09a341330e,86b5641f43e69dbf1c3a3ce26357ccf6,pair_dissolved_naturally,exact,exact,1.0,1.0
003c2224147ff84df4c6fd09a341330e,cd23fd7ef27e4717c64fa2e21f555470,pair_dissolved_naturally,exact,exact,1.0,1.0
003c2224147ff84df4c6fd09a341330e,ef7f945668fbd31e6c4fcf01ddcab38c,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.86
005778b2908db9a5aa1154f95a61a39f,2f58208456b3567eb73a6323c01d0107,pair_dissolved_naturally,exact,exact,1.0,1.0
00a3386c38cc565b154237d99b34c912,bc2d2864a16daa0610f7a75f6d5d0a3e,pair_dissolved_naturally,exact,exact,1.0,1.0
00b7d56bce710bb138d5a07dad19d8ef,dcf322c0e3ca5bdf15dc138082223db1,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.96
00d5b9791dfe8039b47bcb15d60ad551,f1411ddc4e79d8ac20428f1fd06ee75e,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.94
0100a23d68180d45c54bfab21e081a7b,2540f99de5f5575a9371556300fcef14,pair_dissolved_by_refactoring,renamed,renamed,0.94,0.97
0100a23d68180d45c54bfab21e081a7b,63635d3c2583716a4af1b6b8f664435e,pair_dissolved_by_refactoring,renamed,signature_changed,0.94,0.86
0100a23d68180d45c54bfab21e081a7b,7e10b75cd7a2b57c474d673794acfdd7,pair_dissolved_by_refactoring,renamed,exact,0.94,1.0
0103785d050aedab08d3b76187c25980,08edde060fa77d08b68dc10ddcfd7c7e,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
0103785d050aedab08d3b76187c25980,0e26e1ff4e7fb1cdfefd536063baa06b,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
0103785d050aedab08d3b76187c25980,46e6806869f332e12a91b9787a2d15a3,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
0103785d050aedab08d3b76187c25980,4966e376ffaca013f1b818407aa1d1c1,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
0103785d050aedab08d3b76187c25980,8c624776ab0d89e0ba9149ea3646bf11,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
0103785d050aedab08d3b76187c25980,95e77056a22e944f314ade351ac0b5c9,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
0103785d050aedab08d3b76187c25980,ce9296a44b9f8519ce4b624b815a3267,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
0103785d050aedab08d3b76187c25980,e12d6c9df3e4c266743554920dcb6d91,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
0103785d050aedab08d3b76187c25980,ffb5c85bf24ef50e36a20364e96b8ca1,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
01091df04546cd5f37eb38bf807a3c9b,592039845c2a0063a8fcdfde7a9cca37,pair_dissolved_naturally,exact,exact,1.0,1.0
011fe6005a0f4d7ee55d14207ee52c36,f23d78af1b1b19706e92c10b9032ef62,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.98,0.98
012179e31ad44f3502d7161b887302d5,2fe2158842efe53aa8653131326d85a8,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.93,0.96
012179e31ad44f3502d7161b887302d5,6042c055977891cb755997d6c2ce6417,pair_dissolved_by_refactoring,signature_changed,renamed,0.93,0.95
012179e31ad44f3502d7161b887302d5,83288dfa72d36268bc0471e0b24523fd,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.93,0.96
012179e31ad44f3502d7161b887302d5,8a3dafd143557d0abd7d8facedab5b17,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.93,0.93
012cdefcca1ccdeca90a31a7465bdadb,3f8ca1b120a38cb63ab1942b1fc03592,pair_dissolved_naturally,exact,exact,1.0,1.0
014ba640171a9a2d7edb5c95c7c9335c,7eda9c1befa48fa24784af89cf96e5a0,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
015bdb25c94ff6dfad5d832459b57347,50fb5c990458cf39ca88773d800eeca1,both_deleted,deleted,deleted,,
015bdb25c94ff6dfad5d832459b57347,553be4e9e51da365930fef06d667ef63,both_deleted,deleted,deleted,,
015bdb25c94ff6dfad5d832459b57347,63aeaf850255ba934d0abb8a09200e72,both_deleted,deleted,deleted,,
015bdb25c94ff6dfad5d832459b57347,6c259443664a787f10b3388d92afc6bc,both_deleted,deleted,deleted,,
015bdb25c94ff6dfad5d832459b57347,70a2bafaeff2194fd1f31ca463d543c3,both_deleted,deleted,deleted,,
015bdb25c94ff6dfad5d832459b57347,94cab546fc0922592224fc3f57b8bcf0,both_deleted,deleted,deleted,,
015bdb25c94ff6dfad5d832459b57347,b096405376b84c6ad0968f0a3472e518,method_a_deleted,deleted,exact,,1.0
015bdb25c94ff6dfad5d832459b57347,c541d2864e42a3375646aeac25bbd28a,both_deleted,deleted,deleted,,
015bdb25c94ff6dfad5d832459b57347,e14556235dfad5570e44bb1db0b7d956,method_a_deleted,deleted,exact,,1.0
0166881d306edbc022cc74e86759e42b,3d6e5a3b6cff7db7e662e49382da73e6,both_deleted,deleted,deleted,,
018e77ae9d53d3b95223702cd34ff0de,79128f4fdc3c16911b87a06641cbd7de,pair_dissolved_naturally,exact,exact,1.0,1.0
01b5257de123589af3668d0cb2b63549,06755d5cbc09c9cf158e41dc7eb59f5e,pair_dissolved_naturally,exact,exact,1.0,1.0
01b5257de123589af3668d0cb2b63549,0cb6e82fb527f7f86f35ab0f11e66319,pair_dissolved_naturally,exact,exact,1.0,1.0
01b5257de123589af3668d0cb2b63549,b096405376b84c6ad0968f0a3472e518,pair_dissolved_naturally,exact,exact,1.0,1.0
01b5257de123589af3668d0cb2b63549,ccf410503278d14b128d9646c995f6eb,pair_dissolved_naturally,exact,exact,1.0,1.0
01b5257de123589af3668d0cb2b63549,e14556235dfad5570e44bb1db0b7d956,pair_dissolved_naturally,exact,exact,1.0,1.0
01b5257de123589af3668d0cb2b63549,f7ecbe1a8b94facfb82e52055ab30470,method_b_deleted,exact,deleted,1.0,
01d1c839e6b8e90a1a9a3f15c9a596a7,56d2e05bcbe129763019f79881ad2478,method_a_deleted,deleted,exact,,1.0
01d1c839e6b8e90a1a9a3f15c9a596a7,9539d3d61a186ae467c1de2cc6207da9,both_deleted,deleted,deleted,,
01d1c839e6b8e90a1a9a3f15c9a596a7,ded30ff377283c0271057a560e2714c7,both_deleted,deleted,deleted,,
01e02c955782abd303e2bc151ee6a53a,7caa64953f1d1b317b2a9e1c56aaddfe,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,0.9
01ec3ba83116308c0e5314867798e8ac,043222299e39d1a199c766cea636759b,pair_dissolved_by_refactoring,exact,refactored,1.0,0.75
01ec3ba83116308c0e5314867798e8ac,0fb28678b717d63f116e5689bda3d03a,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.96
01ec3ba83116308c0e5314867798e8ac,30e96dc28b821879c63bf9c7e096a6bc,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.94
01ec3ba83116308c0e5314867798e8ac,351d0a2921f92c746b8b80a7cf03ac60,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.96
01ec3ba83116308c0e5314867798e8ac,442dc640f60cab6a3ab90e8e24589ad5,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.89
01ec3ba83116308c0e5314867798e8ac,486e0ec5bc8b57a0ee475a5f01b41ffb,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.93
01ec3ba83116308c0e5314867798e8ac,48e160855b30c136ea21292870d7a9dd,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.96
01ec3ba83116308c0e5314867798e8ac,4a9f03ec76ffcf32b1f85d99d21bb2dd,pair_dissolved_by_refactoring,exact,refactored,1.0,0.83
01ec3ba83116308c0e5314867798e8ac,4cd5768e09def1f2516bd988fd777f69,method_b_deleted,exact,deleted,1.0,
01ec3ba83116308c0e5314867798e8ac,4ebaa863e85559d586d3d6c02f5f54ec,pair_dissolved_by_refactoring,exact,refactored,1.0,0.71
01ec3ba83116308c0e5314867798e8ac,4fc8d6da73bf4bab3a10a2469ddd7a7e,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.96
01ec3ba83116308c0e5314867798e8ac,60cd47554e91cb5c4f490ab5af2a65e2,method_b_deleted,exact,deleted,1.0,
01ec3ba83116308c0e5314867798e8ac,6949f748cdb286cce14b733c937fdc29,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.9
01ec3ba83116308c0e5314867798e8ac,6a342d05313a3d8e8c12be85afb31dfb,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.89
01ec3ba83116308c0e5314867798e8ac,75a036d4e8b5870d45241cb744020511,pair_dissolved_by_refactoring,exact,refactored,1.0,0.83
01ec3ba83116308c0e5314867798e8ac,8308a1eebcee2fca8d8cf4de7814f259,pair_dissolved_by_refactoring,exact,refactored,1.0,0.82
01ec3ba83116308c0e5314867798e8ac,b12e9e60ea07924a2d7b5aeb77eae6a1,pair_dissolved_by_refactoring,exact,refactored,1.0,0.76
01ec3ba83116308c0e5314867798e8ac,bb00b6937b6e5d43e044e6ebc0110307,method_b_deleted,exact,deleted,1.0,
01ec3ba83116308c0e5314867798e8ac,c38331b000991a8d2b69d7747147f69a,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.96
01ec3ba83116308c0e5314867798e8ac,d180700d222921a5ef2f4638c2922299,pair_dissolved_by_refactoring,exact,refactored,1.0,0.82
01ec3ba83116308c0e5314867798e8ac,d336d46f25f46c528d10bc3b3a14076a,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.89
01ec3ba83116308c0e5314867798e8ac,dd31bfcdfd493f71d7fa188e30f5adb3,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.89
01ec3ba83116308c0e5314867798e8ac,e0c26158f9584cc629546663cde2a904,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.86
01ec3ba83116308c0e5314867798e8ac,e2d6415197d02f36bc0b141ed7c905e0,method_b_deleted,exact,deleted,1.0,
01ec3ba83116308c0e5314867798e8ac,e7b4d14e233b5bdb02ec551462a9b7fa,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.96
01f376d18ca0c4803c0482c01204a9bf,0f293e4cd7e56fac22679ebb46fb3638,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.97
01f376d18ca0c4803c0482c01204a9bf,2b5f792fca29960bd957c5f71faca33c,pair_dissolved_by_refactoring,signature_changed,exact,0.95,1.0
01f376d18ca0c4803c0482c01204a9bf,646b9c7f6f9ddd74e566c4f8babac7b0,pair_dissolved_by_refactoring,signature_changed,exact,0.95,1.0
01f376d18ca0c4803c0482c01204a9bf,d3adbe174077081373c0259262d72b56,pair_dissolved_by_refactoring,signature_changed,exact,0.95,1.0
02252137c3cbf1d8d99990f30f19b1ab,d3515a3abb59762cf1a81c707a86e31b,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
02252137c3cbf1d8d99990f30f19b1ab,d8742060b309236290e5fe9202f356a8,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
02a7a85f9bd3094c08aa547f82ef28dc,bc288f9ca4691955ecb707dfed2eeed6,pair_dissolved_naturally,exact,exact,1.0,1.0
02a7a85f9bd3094c08aa547f82ef28dc,c92ebd5a9a11a6284fec5f368f5712bb,pair_dissolved_naturally,exact,exact,1.0,1.0
02a7a85f9bd3094c08aa547f82ef28dc,d4e97dbd2a2e2f23b78ed7169bb51c07,pair_dissolved_by_refactoring,exact,refactored,1.0,0.89
02a7a85f9bd3094c08aa547f82ef28dc,df017bffa4c71fc51bb346a372d3fcc5,pair_dissolved_by_refactoring,exact,renamed,1.0,0.91
02cfdcc48ede5ecf16196fcd9fd63784,a8a543e7e866aa47a370f52b09ecfddf,pair_dissolved_naturally,exact,exact,1.0,1.0
02e655c2010678fd68132b767d67e544,0734a204cb533b06e108c9a5d6fb9dca,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.91
02e655c2010678fd68132b767d67e544,1301da668fcb2d7e540a8415f2eb0c7a,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.97
02e655c2010678fd68132b767d67e544,165986922ca534089d057d3c855a6b5a,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.96
02e655c2010678fd68132b767d67e544,20ebdca6dbb511d5ee5b33e595b6fe80,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.97
02e655c2010678fd68132b767d67e544,32f2120ea3a145e6435c14e050e4f0b3,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.91
02e655c2010678fd68132b767d67e544,37ffe283834d60699fea56432b7d1a13,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.96
02e655c2010678fd68132b767d67e544,40501398eabd52ef635fcbb3b0dad199,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.97
02e655c2010678fd68132b767d67e544,41b71f42384d5d58ea82b855d91331ea,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.98
02e655c2010678fd68132b767d67e544,52232fa19d51c3ab89f9aae4ecd33b5d,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.92
02e655c2010678fd68132b767d67e544,67b5b0ce9a6e08fe5a29568acdbc2c79,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.97
02e655c2010678fd68132b767d67e544,6d0ca04f7c8c190ccbc710b2de2cb60b,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.96
02e655c2010678fd68132b767d67e544,79a8b71ef90a966b6985d7783d215ba2,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.97
02e655c2010678fd68132b767d67e544,81751f409b2e6378427a102bb802f304,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.96
02e655c2010678fd68132b767d67e544,a214e8fc6e9b20b6182164cc74d781e2,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.97
02e655c2010678fd68132b767d67e544,a2f12043b4a94e9a66a0d7eddb2bf42b,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.96
02e655c2010678fd68132b767d67e544,adbdc070c43b3296dfa93b791bf44a6d,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.97
02e655c2010678fd68132b767d67e544,d40e82b504f85d1feca9dd9041a4a1e5,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.96
02e655c2010678fd68132b767d67e544,f886788f2c33f4127a03e21deffe8236,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.97
03037c1707aba4b03f20587c2506aafb,b1713fec0f28d1cc2372cd304274d0dd,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
030b6664b283fdeac1ef5893e1da2291,631eda01d48a8da5033902b78bc18cd7,pair_dissolved_naturally,exact,exact,1.0,1.0
03377175dd892bae5fad3e2c8cfa7ca6,8fa571d6f0b6513a0577200188bae69c,pair_dissolved_naturally,exact,exact,1.0,1.0
03377175dd892bae5fad3e2c8cfa7ca6,ea17a3f90100ebd4b4d897d6c3f0caa1,method_b_deleted,exact,deleted,1.0,
034f96b3e6087ebda82d58b1af9dbeac,616f6f6545989d882a537d12e1f3236f,method_b_deleted,signature_changed,deleted,0.99,
0356f35a4f343895e8812b82472aa29f,ba5ca307ec6cbb4162828b6dd1cdd8cf,pair_dissolved_by_refactoring,signature_changed,exact,0.92,1.0
0376d09a1b4a8bbd0dc3da8c0fb6cb2f,dd8d72568adb339af8d38460d54260da,pair_dissolved_naturally,exact,exact,1.0,1.0
039a9ccd05f3e185d5c7bc2c38851daa,c8e09e87ee2f905c9164089557ff6c22,pair_dissolved_naturally,exact,exact,1.0,1.0
03d99d47dd4de8442b722e0f619ed368,4402b9d02771f0380f177dbe3a8771bf,pair_dissolved_naturally,exact,exact,1.0,1.0
03e26e74dbcebb6897708352bb639a60,95cac1b9168af3637c1e226a3cb3ae45,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.85,0.79
03e26e74dbcebb6897708352bb639a60,f2bb36c8ec089d38f258fb84511cbc70,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.85,0.84
03ec144457cc8c1abe850b25b38e25f4,5a3f05fdc88232ec71b84f9cab016f69,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
03ec144457cc8c1abe850b25b38e25f4,ba2a0312a56cdcc649b4f99124037973,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
03ec144457cc8c1abe850b25b38e25f4,c0c72a5c670204d3854414f71948df77,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,0.83
03ec144457cc8c1abe850b25b38e25f4,c6a6cedcd1847392fd53a097c7e791f9,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,0.81
03ec144457cc8c1abe850b25b38e25f4,fc0ee3ce0084fd3daefd3a389b6b5694,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
03ef4645e083b70c8d74e8984831b664,9a26b7cd7328505e8019702bb572fd04,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
043222299e39d1a199c766cea636759b,486e0ec5bc8b57a0ee475a5f01b41ffb,pair_dissolved_by_refactoring,refactored,signature_changed,0.75,0.93
043222299e39d1a199c766cea636759b,4ebaa863e85559d586d3d6c02f5f54ec,pair_dissolved_by_refactoring,refactored,refactored,0.75,0.71
043222299e39d1a199c766cea636759b,6949f748cdb286cce14b733c937fdc29,pair_dissolved_by_refactoring,refactored,signature_changed,0.75,0.9
043222299e39d1a199c766cea636759b,8308a1eebcee2fca8d8cf4de7814f259,pair_dissolved_by_refactoring,refactored,refactored,0.75,0.82
043222299e39d1a199c766cea636759b,b12e9e60ea07924a2d7b5aeb77eae6a1,pair_dissolved_by_refactoring,refactored,refactored,0.75,0.76
043222299e39d1a199c766cea636759b,d180700d222921a5ef2f4638c2922299,pair_dissolved_by_refactoring,refactored,refactored,0.75,0.82
043222299e39d1a199c766cea636759b,d336d46f25f46c528d10bc3b3a14076a,pair_dissolved_by_refactoring,refactored,signature_changed,0.75,0.89
043222299e39d1a199c766cea636759b,e2d6415197d02f36bc0b141ed7c905e0,method_b_deleted,refactored,deleted,0.75,
044afcb14f3160e00bec5dcd2661f3e3,3499c8a4ed043d0b752fb52461bc2f61,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
0452a06abb14c32b2df02acc1ac26b41,329bc2a1bca7db071d93bc64df3cc5ec,method_a_deleted,deleted,exact,,1.0
048116c6a00931800548fab5034f088c,04ecc2b807bbf08021d8e51cc6c24695,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,074ba372a3932d56213f5db5b104d167,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,3041dc96a449741cbd5ae3de3f3d818a,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,35d221fe1c5cb34da09f04b9902227b1,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,376765a51272f2a415fb56a6034d01dc,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,4e08b5d05587f1420a3842edea625663,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,541b7e93eaa68d8993be38d1d9aa6047,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,57ffbb0ffa106d9d625ce24380cc6ce8,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,5d20daa53fe1f1773b62f782e72f39fb,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,5e64bc480ca4927adcefb8ea1feeff88,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,621723d94e6dd8c67721ce9bdac533b3,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,645c906bdfb01b8583d15cf9df644ddf,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,6b6696cc5963344f57a6f4b5025c193d,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,7f59b708be03bc11c3abe621a5fb3d30,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,8cf818320ca5ed77c135a2f1a50a66a7,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,929a29822abed393abd74be01743a2c2,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,98062190bc921063dc069278b6c6ec68,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,a44a2bc3ac19033aec942126cd6e946c,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,af4b5e354263b1fa8ce9ee78b78933bd,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,bbd9f38a8529b1400892ae64a60ccb53,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,bd9430e8a21d0868b94c3e3645ededc8,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,bda0e7d94d52f58b6e5623cdcd10282e,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,bf4e9fe513e6e8612215b9673cca5c2b,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,c1848fc42fb66eed0315371ff3e5b1b8,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,c25052a98d9cf55c9b0ccb0d6d3ff00e,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,c3af34e7307ac63f1d6b15fbeb29e0ec,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,cfb1eccb6a0098d66806fb128fe799bf,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,d051badb3ec26d22931f36515ac34081,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,d57844cfca2141f691b6bd239ffdf5c8,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,d6e35a94b47b2006697f25118a40b150,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,da7e79277f1ed625300a3db6f5f8a1a4,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,e079a6ef12cd3063c4f72776682cc645,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,e7ff88c357c33e69d8773479aeb0cf0e,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,e9bf1396c1a1cd4d9f9b959e94071271,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,f7ac4ea59a26952f9abae99254116042,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,fb84e80c9418312f2f13b209bc655d52,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,fda369cd62d9f205f3d65805e7757216,both_deleted,deleted,deleted,,
048116c6a00931800548fab5034f088c,ffcedcb56d0c62d515cd0493970966c0,both_deleted,deleted,deleted,,
04da39abe28463caa1eedbbc16c3d69f,2ec8233f234c461655ba87c1e3a30e4d,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
04e674e1c19df43fc628ab4d5a1892c5,1a851427d7b2ae071ee08d646577be22,both_deleted,deleted,deleted,,
04e674e1c19df43fc628ab4d5a1892c5,614bd4cbefa7b7f5b6820f613f750755,both_deleted,deleted,deleted,,
04e674e1c19df43fc628ab4d5a1892c5,65b622e8e420bed786941561720dfdf0,both_deleted,deleted,deleted,,
04e674e1c19df43fc628ab4d5a1892c5,e233ec95f598bcbb6a3bf6044b3a8ccf,both_deleted,deleted,deleted,,
04e9fc66b677493ebe3b9bc3c0fbf85e,15b19a8f80b02496dc5c6625ed962032,pair_dissolved_naturally,exact,exact,1.0,1.0
04ecc2b807bbf08021d8e51cc6c24695,074ba372a3932d56213f5db5b104d167,both_deleted,deleted,deleted,,
04ecc2b807bbf08021d8e51cc6c24695,197a7b4dde7ebdff7d08d1aa559ad851,both_deleted,deleted,deleted,,
04ecc2b807bbf08021d8e51cc6c24695,1fb163f21df1cde0bd30270202666074,both_deleted,deleted,deleted,,
04ecc2b807bbf08021d8e51cc6c24695,3041dc96a449741cbd5ae3de3f3d818a,both_deleted,deleted,deleted,,
04ecc2b807bbf08021d8e51cc6c24695,35d221fe1c5cb34da09f04b9902227b1,both_deleted,deleted,deleted,,
04ecc2b807bbf08021d8e51cc6c24695,376765a51272f2a415fb56a6034d01dc,both_deleted,deleted,deleted,,
04ecc2b807bbf08021d8e51cc6c24695,4e08b5d05587f1420a3842edea625663,both_deleted,deleted,deleted,,
